Cust_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Number_of_Referrals,,Offer,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,0,54,None,No,,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0,0,2460.55,Stayed,,
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,2,72,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0,0,9609.47,Stayed,,
0018-NYROU,Female,58,Yes,0,Antelope,95843,0,5,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0,0,444.75,Stayed,,
0019-EFAEP,Female,32,No,0,La Mesa,91942,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0,0,7423.25,Stayed,,
0019-GFNTW,Female,39,No,0,Los Olivos,93441,0,56,None,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0,0,2560.1,Stayed,,
0020-INWCK,Female,58,Yes,2,Woodlake,93286,9,71,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,0,8784.86,Stayed,,
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,0,34,None,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,1993.2,Stayed,,
0021-IKXGC,Female,72,No,0,San Marcos,92078,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0,0,79.87,Joined,,
0022-TCJCI,Male,79,No,0,Daly City,94015,0,45,None,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,3271.65,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,0,1,None,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,25.1,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,0,50,None,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,2877.8,Stayed,,
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,1,13,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,1781.88,Churned,Other,Don't know
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,1,23,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,2652.88,Stayed,,
0030-FNXPP,Female,22,No,0,Keeler,93530,0,3,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0,0,66.56,Joined,,
0031-PVLZI,Female,34,Yes,0,Korbel,95550,0,4,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,126.07,Churned,Price,Long distance charges
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,1,1,None,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,30.5,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,Yes,3,Parlier,93648,10,55,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,7603.95,Stayed,,
0040-HALCW,Male,42,Yes,3,Modesto,95358,3,54,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,2154.4,Stayed,,
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,0,26,Offer C,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,1430.8,Stayed,,
0042-RLHYP,Female,47,Yes,3,Eureka,95503,5,69,None,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,4045.81,Stayed,,
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,1,37,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,0,4838.92,Stayed,,
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,5,49,Offer B,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0,0,3330.32,Stayed,,
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,9,66,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,10830.97,Stayed,,
0052-YNYOT,Female,28,No,0,Calexico,92231,0,67,None,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,2861.91,Stayed,,
0056-EPFBG,Male,33,Yes,1,Redding,96003,4,20,None,No,,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,825.4,Stayed,,
0057-QBUQH,Female,31,No,3,San Martin,95046,0,43,None,Yes,Yes,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0,0,2387.67,Stayed,,
0058-EVZWM,Female,37,Yes,0,Stockton,95209,2,55,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0,0,5239,Stayed,,
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,4,59,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0,0,6564.66,Stayed,,
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,3,12,None,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,455.86,Stayed,,
0064-YIJGF,Male,60,Yes,3,Yermo,92398,7,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,2611.02,Stayed,,
0067-DKWBL,Male,69,No,0,San Diego,92129,0,2,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,179.08,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,No,0,Fremont,94539,0,27,Offer C,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,0,3399.52,Stayed,,
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,1,25,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,1178.43,Stayed,,
0074-HDKDG,Male,46,Yes,0,San Jose,95126,5,25,None,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,1727.35,Stayed,,
0076-LVEPS,Male,57,No,1,Tujunga,91042,0,29,None,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,1230.19,Stayed,,
0078-XZMHT,Male,19,Yes,0,Visalia,93291,5,72,None,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0,0,8646.12,Stayed,,
0080-EMYVY,Female,64,No,0,Lodi,95240,0,14,None,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0,0,1064.41,Stayed,,
0080-OROZO,Female,38,No,0,El Portal,95318,0,35,Offer C,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,4806.7,Stayed,,
0082-LDZUE,Male,54,No,0,Calistoga,94515,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,87.25,Joined,,
0082-OQIQY,Male,50,No,0,Farmington,95230,0,29,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,2687.05,Stayed,,
0083-PIVIK,Male,25,No,0,Tulelake,96134,0,64,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0,40,5958.91,Stayed,,
0089-IIQKO,Female,35,Yes,3,Coleville,96107,1,39,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0,0,4718.22,Stayed,,
0093-EXYQL,Female,72,No,0,Ojai,93023,0,40,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0,0,5439.2,Stayed,,
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,0,40,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0,0,5544.45,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,1,North Hollywood,91605,0,11,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,1367.79,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,Yes,0,Inverness,94937,10,6,Offer E,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0,0,570.51,Stayed,,
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,0,30,None,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,1967.65,Stayed,,
0098-BOWSO,Male,26,No,0,San Jose,95131,0,27,None,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,1087.62,Stayed,,
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,3,70,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,10067.14,Stayed,,
0103-CSITQ,Female,20,Yes,0,Modesto,95357,10,57,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0,0,6709.27,Stayed,,
0104-PPXDV,Male,61,Yes,0,San Diego,92113,10,58,None,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,3933.78,Stayed,,
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,0,16,None,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0,0,1623.46,Stayed,,
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,3,69,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,10840.73,Stayed,,
0107-WESLM,Male,32,No,0,West Point,95255,0,1,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,51.62,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,No,0,Los Angeles,90062,0,1,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,140.46,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,9,32,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0,0,3880.97,Stayed,,
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,8,16,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,2221.56,Stayed,,
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,1,49,Offer B,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,5997.3,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,Yes,0,Cambria,93428,2,71,Offer A,No,,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,4145.9,Stayed,,
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,0,33,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,5285.27,Stayed,,
0114-RSRRW,Female,21,Yes,0,Klamath,95548,9,10,Offer D,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,683.75,Stayed,,
0115-TFERT,Male,24,Yes,0,Fresno,93650,1,21,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,3198.56,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,1,Angwin,94508,1,37,None,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,1448.8,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,0,Le Grand,95333,0,26,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,3070.89,Stayed,,
0121-SNYRK,Male,45,No,0,Redway,95560,0,50,Offer B,No,,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,1748.9,Stayed,,
0122-OAHPZ,Female,29,No,0,San Diego,92122,0,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,698.56,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,1,61,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0,0,8405.34,Stayed,,
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,0,15,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,2242.75,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,0,26,None,No,,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,1147,Stayed,,
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,9,72,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0,0,9139.19,Stayed,,
0129-QMPDR,Male,64,Yes,0,La Puente,91746,1,44,None,Yes,No,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,2070.65,Stayed,,
0130-SXOUN,Male,55,No,0,Glenhaven,95443,0,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,9200.36,Stayed,,
0133-BMFZO,Female,40,No,0,Alhambra,91803,0,2,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,255.27,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,No,0,Santa Monica,90403,0,44,None,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,3589.82,Stayed,,
0135-NMXAP,Female,57,No,0,Lodi,95240,0,12,Offer D,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,1224.96,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,1,69,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0,0,8904.54,Stayed,,
0137-OCGAB,Female,25,No,0,Fairfield,94533,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,81.43,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,0,Stockton,95204,0,3,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0,0,141,Churned,Price,Long distance charges
0139-IVFJG,Female,19,Yes,0,Temecula,92592,10,2,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0,0,199.8,Joined,,
0141-YEAYS,Female,77,No,0,Fallbrook,92028,0,27,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,2481.24,Stayed,,
0142-GVYSN,Male,57,No,0,Randsburg,93554,0,26,Offer C,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,858.09,Stayed,,
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,9,39,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0,0,4735,Stayed,,
0148-DCDOS,Male,41,No,0,Planada,95365,0,25,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,3234.1,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,0,Moorpark,93021,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,110.71,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,Solvang,93463,1,22,Offer D,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,1751.98,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,No,0,Calistoga,94515,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,11979.34,Stayed,,
0164-XAIRP,Female,51,No,0,La Mirada,90638,0,24,None,Yes,No,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.55,470.2,0,0,725.56,Stayed,,
0168-XZKBB,Female,34,Yes,0,Boron,93516,8,19,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,0,0,1713.36,Stayed,,
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,2,71,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.35,1847.55,0,0,2500.75,Stayed,,
0177-PXBAT,Male,78,Yes,0,Desert Center,92239,7,33,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0,0,4524.65,Stayed,,
0178-CIIKR,Female,60,No,0,Crows Landing,95313,0,3,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,58,0,0,66.07,Joined,,
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,7,47,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0,0,4068.68,Stayed,,
0181-RITDD,Male,42,Yes,3,San Diego,92120,2,62,None,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0,0,6934.77,Stayed,,
0186-CAERR,Male,22,No,0,Auburn,95603,0,71,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0,0,8514.03,Stayed,,
0187-QSXOE,Male,71,Yes,0,Fresno,93725,8,7,None,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605.45,0,0,899.24,Stayed,,
0187-WZNAB,Female,56,Yes,2,Del Rey,93616,6,27,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0,0,3232.17,Stayed,,
0188-GWFLE,Male,33,No,0,Redwood City,94065,0,2,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,33.7,0,0,37.32,Joined,,
0191-EQUUH,Female,32,No,3,Landers,92285,0,25,Offer C,No,,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0,0,844.45,Stayed,,
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,0,30,None,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0,0,3269.6,Stayed,,
0193-ESZXP,Female,73,Yes,0,Oceano,93445,1,58,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0,0,7188.02,Churned,Attitude,Attitude of support person
0195-IESCP,Male,26,Yes,0,Armona,93202,1,10,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,975.5,Churned,Competitor,Competitor offered more data
0196-JTUQI,Female,59,No,0,Clarksburg,95612,0,9,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0,0,717.28,Stayed,,
0196-VULGZ,Female,78,Yes,0,Irvine,92620,1,6,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0,0,647.16,Churned,Other,Deceased
0197-PNKNK,Female,47,Yes,1,Scotts Valley,95066,7,69,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,0,40,8574.08,Stayed,,
0201-MIBOL,Female,68,No,0,Salida,95368,0,66,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,6471.85,0,0,7161.55,Stayed,,
